City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Komsomolskiy,UZ,2022-04-10 03:32:20,40.4272,71.7189,70.52,49,95,0.0
1,Ancud,CL,2022-04-10 03:34:43,-41.8697,-73.8203,45.23,83,11,1.88
2,Mataura,NZ,2022-04-10 03:34:43,-46.1927,168.8643,61.38,56,11,5.1
3,New Norfolk,AU,2022-04-10 03:34:43,-42.7826,147.0587,78.3,38,99,5.01
4,Punta Arenas,CL,2022-04-10 03:34:44,-53.15,-70.9167,46.51,71,75,13.8
5,Lapua,FI,2022-04-10 03:34:44,62.9693,23.0088,30.88,96,100,6.58
6,Albany,US,2022-04-10 03:34:44,42.6001,-73.9662,40.46,79,26,7.0
7,Rikitea,PF,2022-04-10 03:34:45,-23.1203,-134.9692,79.29,71,8,18.99
8,Butia,BR,2022-04-10 03:34:45,-30.1197,-51.9622,64.09,97,5,4.92
9,Hermanus,ZA,2022-04-10 03:34:45,-34.4187,19.2345,60.8,90,0,12.75
10,Tuatapere,NZ,2022-04-10 03:34:46,-46.1333,167.6833,62.13,59,6,6.91
11,Hilo,US,2022-04-10 03:34:05,19.7297,-155.09,72.25,91,100,8.05
12,Adre,TD,2022-04-10 03:34:46,13.4667,22.2,77.23,13,77,8.7
13,Cape Town,ZA,2022-04-10 03:31:26,-33.9258,18.4232,62.11,75,0,4.61
14,Tasiilaq,GL,2022-04-10 03:34:47,65.6145,-37.6368,21.36,93,98,3.13
15,Atuona,PF,2022-04-10 03:34:47,-9.8,-139.0333,79.48,72,4,21.79
16,Sao Felix Do Xingu,BR,2022-04-10 03:34:47,-6.6447,-51.995,71.71,98,99,0.96
17,Bundaberg,AU,2022-04-10 03:34:47,-24.85,152.35,82.69,70,100,18.41
18,Mahebourg,MU,2022-04-10 03:34:48,-20.4081,57.7,78.26,83,75,8.05
19,Novopokrovka,UA,2022-04-10 03:34:48,49.8425,36.5477,48.54,77,100,11.27
20,San Patricio,US,2022-04-10 03:34:48,28.017,-97.5169,71.49,65,65,18.05
21,Maumere,ID,2022-04-10 03:34:49,-8.6199,122.2111,84.94,65,64,3.0
22,Barrow,US,2022-04-10 03:32:12,71.2906,-156.7887,-5.78,71,0,5.75
23,Lasa,IT,2022-04-10 03:34:49,46.6166,10.7002,29.7,92,45,5.99
24,Alofi,NU,2022-04-10 03:34:50,-19.0595,-169.9187,85.89,74,34,4.61
25,Luderitz,NA,2022-04-10 03:34:50,-26.6481,15.1594,63.81,65,0,5.75
26,Karaton,ID,2022-04-10 03:34:50,-6.3424,106.1045,90.61,47,15,4.41
27,Opochka,RU,2022-04-10 03:34:50,56.7105,28.6617,32.95,79,3,9.15
28,Provideniya,RU,2022-04-10 03:34:51,64.3833,-173.3,32.47,91,100,17.07
29,Daru,PG,2022-04-10 03:34:51,-9.0763,143.2092,80.62,83,100,8.79
30,Thompson,CA,2022-04-10 03:34:51,55.7435,-97.8558,32.16,100,100,6.91
31,Nikolskoye,RU,2022-04-10 03:34:52,59.7035,30.7861,34.72,90,31,6.87
32,Santo Antonio De Jesus,BR,2022-04-10 03:34:20,-12.9689,-39.2614,66.81,98,5,2.77
33,Butaritari,KI,2022-04-10 03:34:52,3.0707,172.7902,80.53,81,99,12.57
34,Muros,ES,2022-04-10 03:34:52,42.7762,-9.0603,55.69,91,100,9.44
35,Arraial Do Cabo,BR,2022-04-10 03:34:53,-22.9661,-42.0278,75.45,90,85,6.91
36,Lorengau,PG,2022-04-10 03:34:53,-2.0226,147.2712,83.32,78,88,10.71
37,Vila Velha,BR,2022-04-10 03:31:10,-20.3297,-40.2925,80.55,89,0,9.22
38,Batagay-Alyta,RU,2022-04-10 03:34:54,67.8006,130.4114,9.95,73,67,6.78
39,Busselton,AU,2022-04-10 03:34:54,-33.65,115.3333,64.33,73,74,13.24
40,Adrar,MR,2022-04-10 03:34:54,20.5022,-10.0711,72.52,9,0,8.52
41,Port Alfred,ZA,2022-04-10 03:34:54,-33.5906,26.891,61.18,96,100,8.01
42,Ushuaia,AR,2022-04-10 03:31:53,-54.8,-68.3,46.06,71,75,24.16
43,Kaitangata,NZ,2022-04-10 03:34:55,-46.2817,169.8464,62.56,54,13,6.8
44,Vila Franca Do Campo,PT,2022-04-10 03:34:50,37.7167,-25.4333,57.61,74,80,23.73
45,Flinders,AU,2022-04-10 03:34:55,-34.5833,150.8552,77.18,73,32,5.99
46,Alta Floresta,BR,2022-04-10 03:34:55,-9.8756,-56.0861,71.19,94,60,0.58
47,Jamestown,US,2022-04-10 03:34:56,42.097,-79.2353,35.19,49,100,11.5
48,Araouane,ML,2022-04-10 03:34:56,18.9048,-3.5265,75.88,8,5,11.54
49,Puerto Leguizamo,CO,2022-04-10 03:34:56,-0.1934,-74.7819,71.69,99,98,1.66
50,Raymond Terrace,AU,2022-04-10 03:31:57,-32.75,151.75,78.3,69,40,9.22
51,Dikson,RU,2022-04-10 03:34:57,73.5069,80.5464,10.24,91,97,6.26
52,Lebu,CL,2022-04-10 03:34:57,-37.6167,-73.65,49.44,83,29,4.59
53,Ejido,VE,2022-04-10 03:34:57,8.5514,-71.2375,70.54,86,100,3.42
54,Katra,IN,2022-04-10 03:34:58,32.9833,74.95,84.0,23,0,8.3
55,Chuy,UY,2022-04-10 03:30:58,-33.6971,-53.4616,64.38,92,24,8.16
56,Victoria,HK,2022-04-10 03:30:05,22.2855,114.1577,79.95,62,0,5.01
57,Necochea,AR,2022-04-10 03:30:05,-38.5473,-58.7368,59.18,94,88,10.09
58,Piacabucu,BR,2022-04-10 03:34:58,-10.4056,-36.4344,79.38,73,90,7.29
59,Broken Hill,AU,2022-04-10 03:34:58,-31.95,141.4333,83.91,26,0,8.05
60,Takestan,IR,2022-04-10 03:34:59,36.0696,49.6959,42.93,74,75,12.21
61,Evanston,US,2022-04-10 03:34:59,42.0411,-87.6901,39.47,77,20,3.44
62,Puerto Ayora,EC,2022-04-10 03:34:59,-0.7393,-90.3518,77.76,87,79,6.04
63,Margate,GB,2022-04-10 03:35:00,51.3813,1.3862,41.7,77,57,1.01
64,Vaini,TO,2022-04-10 03:35:00,-21.2,-175.2,82.56,78,75,9.22
65,Carauari,BR,2022-04-10 03:35:00,-4.8828,-66.8958,73.63,98,100,2.62
66,Yulara,AU,2022-04-10 03:35:01,-25.2406,130.9889,89.44,11,0,6.91
67,Neiafu,TO,2022-04-10 03:35:01,-18.65,-173.9833,84.88,79,20,4.61
68,Conde,BR,2022-04-10 03:35:01,-7.2597,-34.9075,76.46,94,75,6.91
69,Sinnamary,GF,2022-04-10 03:35:02,5.3833,-52.95,77.22,87,100,12.33
70,Tuy Hoa,VN,2022-04-10 03:32:54,13.0833,109.3,80.67,68,65,7.31
71,Cabo San Lucas,MX,2022-04-10 03:34:57,22.8909,-109.9124,71.62,78,5,13.0
72,Bluff,NZ,2022-04-10 03:35:02,-46.6,168.3333,57.9,74,10,23.44
73,Tuktoyaktuk,CA,2022-04-10 03:35:03,69.4541,-133.0374,3.2,85,75,19.57
74,Port Lincoln,AU,2022-04-10 03:30:38,-34.7333,135.8667,69.8,75,100,11.68
75,Kapaa,US,2022-04-10 03:35:03,22.0752,-159.319,80.58,85,20,16.11
76,Bhandara,IN,2022-04-10 03:35:03,21.1667,79.65,98.02,24,29,9.95
77,Guisa,CU,2022-04-10 03:35:04,20.255,-76.5386,71.53,94,94,3.31
78,Hobart,AU,2022-04-10 03:35:04,-42.8794,147.3294,78.66,42,0,16.11
79,Silver City,US,2022-04-10 03:35:04,32.7701,-108.2803,64.31,12,0,11.5
80,Namatanai,PG,2022-04-10 03:35:05,-3.6667,152.4333,85.62,64,55,6.76
81,Camrose,CA,2022-04-10 03:31:45,53.0168,-112.8353,35.13,67,69,21.23
82,Belmonte,BR,2022-04-10 03:35:05,-15.8631,-38.8828,76.59,81,20,5.06
83,Bjornevatn,NO,2022-04-10 03:35:05,69.6672,29.9847,35.22,80,20,13.8
84,Santa Fe,AR,2022-04-10 03:35:06,-31.6333,-60.7,72.01,84,24,3.0
85,Mfou,CM,2022-04-10 03:35:06,3.7159,11.6427,71.46,100,20,0.0
86,Georgetown,MY,2022-04-10 03:32:34,5.4112,100.3354,87.75,74,20,4.61
87,Ewa Beach,US,2022-04-10 03:35:07,21.3156,-158.0072,80.55,65,75,11.5
88,Caravelas,BR,2022-04-10 03:35:07,-17.7125,-39.2481,75.04,88,55,5.01
89,Altay,CN,2022-04-10 03:35:07,47.8667,88.1167,42.19,37,0,2.66
90,Zhigansk,RU,2022-04-10 03:33:48,66.7697,123.3711,14.86,78,13,15.88
91,Rocha,UY,2022-04-10 03:35:08,-34.4833,-54.3333,65.25,86,100,5.73
92,Marawi,PH,2022-04-10 03:34:53,7.9986,124.2928,79.25,66,100,4.12
93,Aljezur,PT,2022-04-10 03:35:08,37.3191,-8.8033,54.5,91,95,3.8
94,Ibra,OM,2022-04-10 03:35:08,22.6906,58.5334,87.12,23,69,2.68
95,Pahrump,US,2022-04-10 03:32:26,36.2083,-115.9839,78.94,8,0,1.99
96,East London,ZA,2022-04-10 03:35:09,-33.0153,27.9116,61.74,100,100,19.57
97,Talnakh,RU,2022-04-10 03:35:09,69.4865,88.3972,-3.8,90,98,3.38
98,Kahului,US,2022-04-10 03:33:11,20.8947,-156.47,77.02,80,75,20.71
99,Skibbereen,IE,2022-04-10 03:35:10,51.55,-9.2667,50.11,85,100,20.56
100,Kavieng,PG,2022-04-10 03:34:51,-2.5744,150.7967,84.85,68,100,8.81
101,Port Elizabeth,ZA,2022-04-10 03:35:10,-33.918,25.5701,66.09,93,75,13.8
102,Ustupo,PA,2022-04-10 03:35:10,9.1333,-77.9333,78.87,88,100,10.45
103,Bambous Virieux,MU,2022-04-10 03:35:11,-20.3428,57.7575,78.22,83,75,8.05
104,Nizhnyaya Omka,RU,2022-04-10 03:35:11,55.4338,74.9426,35.55,62,9,7.47
105,Labuhan,ID,2022-04-10 03:35:12,-6.8844,112.2051,85.35,67,50,4.05
106,Saint-Philippe,RE,2022-04-10 03:35:12,-21.3585,55.7679,78.39,84,56,13.15
107,Kruisfontein,ZA,2022-04-10 03:35:12,-34.0033,24.7314,63.88,94,64,7.49
108,Lagoa,PT,2022-04-10 03:35:13,39.05,-27.9833,54.97,68,82,35.95
109,Katsuura,JP,2022-04-10 03:35:13,35.1333,140.3,68.29,65,0,10.07
110,Luba,GQ,2022-04-10 03:35:13,3.4568,8.5547,75.09,81,100,4.05
111,Moscow,RU,2022-04-10 03:35:14,55.7522,37.6156,45.14,96,100,7.78
112,Samarkand,UZ,2022-04-10 03:35:14,39.6542,66.9597,65.62,59,97,9.22
113,Mayor Pablo Lagerenza,PY,2022-04-10 03:35:14,-19.9309,-60.7718,78.91,63,49,5.79
114,Pangpang,PH,2022-04-10 03:35:15,15.9394,120.3092,92.41,45,28,2.57
115,Bengkulu,ID,2022-04-10 03:35:15,-3.8004,102.2655,84.51,66,41,5.73
116,Sindou,BF,2022-04-10 03:35:15,10.6667,-5.1667,82.29,52,46,8.63
117,Ribeira Grande,PT,2022-04-10 03:35:16,38.5167,-28.7,56.25,68,81,34.05
118,Yambio,SS,2022-04-10 03:35:16,4.5721,28.3955,70.86,64,88,3.91
119,Avarua,CK,2022-04-10 03:35:16,-21.2078,-159.775,84.25,74,95,6.67
120,Shahreza,IR,2022-04-10 03:35:17,32.0339,51.8794,62.92,20,0,20.83
121,Kismayo,SO,2022-04-10 03:35:17,-0.3582,42.5454,82.22,76,38,9.69
122,Codrington,AU,2022-04-10 03:35:17,-38.2667,141.9667,82.63,29,100,14.2
123,Saskylakh,RU,2022-04-10 03:35:19,71.9167,114.0833,3.4,86,22,2.39
124,Oktyabrskiy,RU,2022-04-10 03:35:19,54.4815,53.471,39.2,97,100,4.32
125,Valenca Do Piaui,BR,2022-04-10 03:35:19,-6.4075,-41.7456,70.23,90,57,0.63
126,Kissidougou,GN,2022-04-10 03:35:20,9.1848,-10.0999,73.53,87,100,4.07
127,Kabompo,ZM,2022-04-10 03:35:20,-13.5927,24.2008,62.87,99,100,4.05
128,Yashkul,RU,2022-04-10 03:35:20,46.1711,45.3435,52.39,58,8,3.83
129,Sabang,ID,2022-04-10 03:35:21,5.8933,95.3214,82.9,69,65,1.5
130,Enid,US,2022-04-10 03:35:21,36.3956,-97.8784,72.3,24,0,18.41
131,Terrace Bay,CA,2022-04-10 03:35:21,48.7834,-87.1,25.21,92,12,5.08
132,Coquimbo,CL,2022-04-10 03:31:26,-29.9533,-71.3436,53.33,93,0,3.44
133,Yellowknife,CA,2022-04-10 03:35:21,62.456,-114.3525,21.72,78,20,17.27
134,Olafsvik,IS,2022-04-10 03:35:22,64.8945,-23.7142,37.18,98,100,23.47
135,Qaanaaq,GL,2022-04-10 03:35:22,77.484,-69.3632,-1.8,92,100,5.59
136,Rampura,IN,2022-04-10 03:35:22,30.25,75.2333,97.18,8,0,1.97
137,Agadez,NE,2022-04-10 03:35:23,19.75,10.25,79.18,8,0,10.25
138,Dingle,PH,2022-04-10 03:35:23,10.9995,122.6711,76.33,90,100,6.02
139,Puerto Baquerizo Moreno,EC,2022-04-10 03:32:41,-0.9,-89.6,77.97,87,77,8.08
140,Vostok,RU,2022-04-10 03:35:23,46.4856,135.8833,45.99,73,99,6.04
141,Tocopilla,CL,2022-04-10 03:30:26,-22.092,-70.1979,64.67,73,16,4.85
142,Tynda,RU,2022-04-10 03:35:24,55.1667,124.7167,30.76,61,100,9.17
143,Bodden Town,KY,2022-04-10 03:35:24,19.2833,-81.25,80.6,66,40,10.36
144,Damara,CF,2022-04-10 03:35:24,4.9608,18.7035,73.83,81,100,2.28
145,Salinas,US,2022-04-10 03:33:47,36.6777,-121.6555,59.61,60,0,9.22
146,Ponta Delgada,PT,2022-04-10 03:35:25,37.7333,-25.6667,57.92,72,40,26.46
147,Yunyang,CN,2022-04-10 03:35:25,33.4474,112.7142,83.61,42,0,10.85
148,Castro,BR,2022-04-10 03:35:26,-24.7911,-50.0119,62.15,92,99,2.71
149,Tomaszow Lubelski,PL,2022-04-10 03:35:26,50.4477,23.4162,32.68,84,97,5.99
150,Anloga,GH,2022-04-10 03:35:26,5.7947,0.8973,81.37,83,88,9.44
151,Bethel,US,2022-04-10 03:30:28,41.3712,-73.414,45.48,87,75,3.44
152,Auki,SB,2022-04-10 03:35:27,-8.7676,160.7034,84.31,68,84,3.04
153,Guerrero Negro,MX,2022-04-10 03:35:27,27.9769,-114.0611,63.9,81,11,8.79
154,Scottsbluff,US,2022-04-10 03:35:27,41.8666,-103.6672,50.23,52,75,19.57
155,Purwodadi,ID,2022-04-10 03:35:28,-7.0868,110.9158,86.36,66,81,5.5
156,Aquiraz,BR,2022-04-10 03:35:28,-3.9014,-38.3911,80.69,86,100,6.02
157,Airai,TL,2022-04-10 03:35:28,-8.9266,125.4092,76.87,37,77,3.8
158,Barra Dos Coqueiros,BR,2022-04-10 03:32:06,-10.9089,-37.0386,82.42,74,40,6.91
159,Katangli,RU,2022-04-10 03:35:29,51.7102,143.2326,29.79,81,52,7.14
160,Tukrah,LY,2022-04-10 03:35:29,32.5341,20.5791,58.87,50,0,5.93
161,Shawnee,US,2022-04-10 03:35:29,39.05,-95.7669,57.65,39,0,12.66
162,Norman Wells,CA,2022-04-10 03:35:21,65.282,-126.8329,14.04,57,75,12.66
163,Pochutla,MX,2022-04-10 03:35:30,15.7432,-96.4661,79.83,65,50,3.0
164,Salta,AR,2022-04-10 03:35:30,-24.7859,-65.4117,65.57,85,75,2.3
165,Constitucion,CL,2022-04-10 03:35:30,-35.3333,-72.4167,52.56,95,10,6.87
166,Bulolo,PG,2022-04-10 03:35:30,-7.2,146.65,78.35,89,96,3.67
167,Mount Gambier,AU,2022-04-10 03:32:15,-37.8333,140.7667,80.51,28,75,19.57
168,Payo,ID,2022-04-10 03:35:31,-3.7508,103.6372,89.71,53,88,2.06
169,Shelburne,CA,2022-04-10 03:35:31,44.0787,-80.2041,31.91,91,92,11.83
170,Aksu,CN,2022-04-10 03:35:32,41.1231,80.2644,72.16,19,76,2.42
171,Mar Del Plata,AR,2022-04-10 03:35:32,-38.0023,-57.5575,67.08,95,100,15.01
172,Sulphur,US,2022-04-10 03:33:13,30.2366,-93.3774,64.02,83,0,5.75
173,Hofn,IS,2022-04-10 03:35:32,64.2539,-15.2082,30.97,57,94,6.04
174,Severo-Kurilsk,RU,2022-04-10 03:35:33,50.6789,156.125,31.39,73,100,6.71
175,Klaksvik,FO,2022-04-10 03:35:33,62.2266,-6.589,32.92,62,99,20.09
176,Touros,BR,2022-04-10 03:35:33,-5.1989,-35.4608,78.03,89,100,10.8
177,Ponta Do Sol,PT,2022-04-10 03:35:34,32.6667,-17.1,62.71,75,39,9.44
178,Kodiak,US,2022-04-10 03:35:34,57.79,-152.4072,40.51,30,0,6.91
179,Esperance,AU,2022-04-10 03:35:34,-33.8667,121.9,71.44,53,92,12.19
180,Porto Walter,BR,2022-04-10 03:35:35,-8.2686,-72.7439,71.87,99,100,1.36
181,Atambua,ID,2022-04-10 03:35:35,-9.1061,124.8925,84.18,56,53,2.28
182,Bredasdorp,ZA,2022-04-10 03:35:35,-34.5322,20.0403,58.57,93,11,9.75
183,Yumen,CN,2022-04-10 03:30:58,40.2833,97.2,60.71,15,100,14.65
184,Ulaanbaatar,MN,2022-04-10 03:35:19,47.9077,106.8832,32.13,51,40,2.24
185,Canon City,US,2022-04-10 03:31:40,38.441,-105.2424,67.98,12,0,9.22
186,Portland,US,2022-04-10 03:33:47,45.5234,-122.6762,47.62,66,100,9.22
187,Los Alamos,US,2022-04-10 03:32:14,35.8881,-106.307,62.65,10,0,19.57
188,Bama,NG,2022-04-10 03:35:36,11.5221,13.6856,82.33,52,99,13.18
189,Saiki,JP,2022-04-10 03:35:36,32.95,131.9,70.29,57,96,10.51
190,San Quintin,MX,2022-04-10 03:35:37,30.4833,-115.95,62.4,86,91,4.45
191,Mangalia,RO,2022-04-10 03:35:37,43.8,28.5833,53.65,83,19,2.35
192,Fairbanks,US,2022-04-10 03:33:02,64.8378,-147.7164,19.36,41,0,6.91
193,Ballina,AU,2022-04-10 03:35:37,-28.8667,153.5667,77.18,76,100,11.5
194,Ouahigouya,BF,2022-04-10 03:35:38,13.5828,-2.4216,85.75,16,84,5.88
195,Tarsus,TR,2022-04-10 03:35:38,36.9188,34.8784,60.67,88,98,5.57
196,Andenes,NO,2022-04-10 03:31:51,69.3143,16.1194,33.78,93,100,5.75
197,Sakaiminato,JP,2022-04-10 03:33:32,35.55,133.2333,75.18,38,20,8.05
198,Panormos,GR,2022-04-10 03:35:38,35.4182,24.6909,53.46,60,7,4.81
199,Samarai,PG,2022-04-10 03:35:39,-10.6167,150.6667,85.91,72,57,16.33
